Pais,Año,Brecha,Desempleo,GP Social,Ganancias,Propiedad,PIB,S. Min. Real,IPC
Perú,2012,4.20862756181396,2.9876432,19.544516,7.799,0.3725,6479.702897,133.6,84.32292866
Perú,2013,4.10888739016376,3.1214283,20.587558,7.1891,0.3891,6696.324896,135.6,86.68887925
Perú,2014,4.0221789115149,2.8606973,21.778802,7.5664,0.3748,6614.31986,131.4,89.50190305
Perú,2015,3.91320596489268,2.8791298,21.49206,6.1757,0.3967,6177.498405,126.868,92.68928206
Perú,2016,4.03504317063325,3.4437428,20.152911,6.1169,0.4008,6166.724584,133.2963314,96.00820024
Perú,2017,3.99979750396791,3.392063,21.078063,5.6655,0.3655,6677.870564,134.9974723,98.70003876
Perú,2018,3.82801965673698,3.1125529,21.064444,5.8992,0.3591,6910.177914,142.6246757,100
Perú,2019,3.67561181731424,3.0409195,20.546891,6.0301,0.405,6955.016038,142.7324191,102.1355429
Perú,2020,3.96836399450511,6.261907,25.34662,5.5766,0.3343,6051.224319,140.17,104.0018684
Perú,2021,3.34722468741846,4.6485935,21.7476670259741,6.7465,0.3698,6631.098729,137.43,106.1072
Uruguay,1995,3.6046202632351,10.124275,17.308859,2.044,1.8488,7247.15297,103.2,12.25236324
Uruguay,1996,3.59030286027056,11.779145,17.435156,2.8812,1.9019,7660.793417,99.7,15.72522278
Uruguay,1997,3.61030186256987,11.390674,18.138115,2.7266,2.0471,8037.594008,97.8,18.84104123
Uruguay,1998,3.83622112778209,10.023573,17.887475,2.9003,1.8785,8478.846521,101.2,20.87815602
Uruguay,1999,3.82401512203279,11.780841,18.362035,2.8709,1.8039,7978.568533,101.7,22.06002696
Uruguay,2000,3.81184570972284,13.538109,18.833543,2.8995,1.8361,7559.745308,100,23.11095124
Uruguay,2001,4.08886982030715,15.238735,20.187313,2.7536,1.9196,6914.424001,98.7,24.11979049
Uruguay,2002,4.15452059193548,16.913835,22.196792,3.0294,2.1196,4703.33392,88.7,27.48868443
Uruguay,2003,3.85988377583981,16.809015,24.216049,3.0306,2.5064,3967.908224,77.7,32.81555736
Uruguay,2004,4.11098639742031,13.051795,20.739582,3.106,2.485,4522.812746,77.5,35.82067651
Uruguay,2005,4.07293295850773,12.123063,19.605008,2.9955,2.6335,5722.517883,131.9,37.50398946
Uruguay,2006,4.00813543797807,10.707742,22.89376,3.3829,2.3771,6429.308949,153.2,39.90383352
Uruguay,2007,4.07749507361409,9.335554,22.403486,3.441,2.2187,7700.764997,159.6,43.141716
Uruguay,2008,3.90475900357173,7.9763692,22.528016,4.7437,2.2271,9944.170464,176.9,46.53909559
Uruguay,2009,4.06723003381028,7.7209828,23.001689,4.7361,2.1896,10414.51855,194.4,49.82567141
Uruguay,2010,3.92434868094893,7.1376105,22.395395,4.8508,2.1604,13111.24324,196.8,53.16335267
Uruguay,2011,3.69711141679788,6.304108,22.123089,4.8266,2.1072,15567.69923,227.7,57.4667638
Uruguay,2012,3.60319121879346,6.4512943,22.549799,4.9088,2.0552,16619.69735,252.8,62.11573484
Uruguay,2013,3.59216666496989,6.4426286,22.976415,5.3323,2.0123,18561.88841,256.1,67.4471863
Uruguay,2014,3.57204850855318,6.5416621,23.297695,5.0589,2.022,18400.78449,166.1,73.43471135
Uruguay,2015,3.58073832733509,7.4878883,23.723176,5.3201,2.05,17106.21347,273.336,79.79876161
Uruguay,2016,3.49243674464768,7.8370145,24.762979,5.868,2.1018,16876.63415,277.4680123,87.49089419
Uruguay,2017,3.41653250265535,7.8874883,26.093272,6.7213,2.0631,18992.61487,287.7937098,92.93116008
Uruguay,2018,3.45394652900949,8.3337396,26.773775,7.0145,2.022,19058.78955,292.6531521,100
Uruguay,2019,3.47559897940937,8.8737289,27.200105,6.8534,2.0195,18114.50527,309.8566221,107.8819887
Uruguay,2020,3.55318091974805,10.353822,22.587781,7.0866,2.075,15673.82499,300.25,118.4083045
Uruguay,2021,3.49675458609276,6.72505407476922,26.2427174676923,6.6848,1.9586,17915.01894,291.82,124.6071
